specID,ta,tabin,Trial_Type,contingency,study_str,id,prob,err,trtype_str
ss38_bl6040,20,1,1,60/40,study_3,ss38,0.633571428571429,0.101097027341811,hi-prob
ss38_bl6040,20,1,2,60/40,study_3,ss38,0.376071428571429,-0.0865407445361006,low-prob
ss38_bl7525,20,1,1,75/25,study_3,ss38,0.50375,-0.282567609583428,hi-prob
ss38_bl7525,20,1,2,75/25,study_3,ss38,0.298660714285714,0.111869167691951,low-prob
ss38_bl9010,20,1,1,90/10,study_3,ss38,0.671346153846154,-0.216969295716053,hi-prob
ss38_bl9010,20,1,2,90/10,study_3,ss38,0.304326923076923,0.18230701113608,low-prob
ss39_bl6040,33,1,1,60/40,study_3,ss39,0.833461538461538,0.256789714734321,hi-prob
ss39_bl6040,33,1,2,60/40,study_3,ss39,0.382884615384616,0.00419519668148144,low-prob
ss39_bl7525,33,1,1,75/25,study_3,ss39,0.621666666666667,-0.0816012131767491,hi-prob
ss39_bl7525,33,1,2,75/25,study_3,ss39,0.469901960784314,0.201804667552387,low-prob
ss39_bl9010,33,1,1,90/10,study_3,ss39,0.924204545454545,0.0374477597198522,hi-prob
ss39_bl9010,33,1,2,90/10,study_3,ss39,0.10375,-0.0846651131042256,low-prob
ss3_bl6040,46,2,1,60/40,study_3,ss3,0.423589743589744,-0.211759202996998,hi-prob
ss3_bl6040,46,2,2,60/40,study_3,ss3,0.42474358974359,-0.0716934344619509,low-prob
ss3_bl7525,46,2,1,75/25,study_3,ss3,0.745,0.0417321201565842,hi-prob
ss3_bl7525,46,2,2,75/25,study_3,ss3,0.201274509803922,-0.0668227834280052,low-prob
ss3_bl9010,46,2,1,90/10,study_3,ss3,0.9009,-0.0556364653340834,hi-prob
ss3_bl9010,46,2,2,90/10,study_3,ss3,0.1482,0.00351459597537195,low-prob
ss40_bl6040,56,2,1,60/40,study_3,ss40,0.53725,-0.145206680216355,hi-prob
ss40_bl6040,56,2,2,60/40,study_3,ss40,0.73075,0.24544371700138,low-prob
ss40_bl7525,56,2,1,75/25,study_3,ss40,0.917307692307692,0.0753700492846071,hi-prob
ss40_bl7525,56,2,2,75/25,study_3,ss40,0.128076923076923,-0.0583663650484102,low-prob
ss40_bl9010,56,2,1,90/10,study_3,ss40,0.927872340425531,-0.0406842548225012,hi-prob
ss40_bl9010,56,2,2,90/10,study_3,ss40,0.119787234042553,0.0526598153768845,low-prob
ss41_bl6040,42,2,1,60/40,study_3,ss41,0.593452380952381,0.0579889192337032,hi-prob
ss41_bl6040,42,2,2,60/40,study_3,ss41,0.254761904761905,-0.221675879671236,low-prob
ss41_bl7525,42,2,1,75/25,study_3,ss41,0.788235294117647,0.0849674142742312,hi-prob
ss41_bl7525,42,2,2,75/25,study_3,ss41,0.112647058823529,-0.155450234408397,low-prob
ss41_bl9010,42,2,1,90/10,study_3,ss41,0.967941176470588,0.0141966764614299,hi-prob
